,2P,2P.1,2PA,3P,3P.1,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,MP,ORB,PF,PTS,STL,TOV,TRB,Traded,Pos_C,Pos_C-PF,Pos_C-SF,Pos_F,Pos_G-F,Pos_PF,Pos_PF-C,Pos_PF-SF,Pos_PG,Pos_PG-SG,Pos_SF,Pos_SF-PF,Pos_SF-SG,Pos_SG,Pos_SG-PF,Pos_SG-PG,Pos_SG-SF,player_year,Player,Age,Tm,PER,TS%,3PAr,FTr,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year,Signed,Dollars_Per_year
1163,3.3,0.479,7.0,0.9,0.40399999999999997,2.2,2.7,0.2,2.0,4.2,0.461,9.2,1.9,0.7040000000000001,2.6,82,82,29.5,0.7,1.9,11.2,0.8,1.5,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DeShawn Stevenson2007,DeShawn Stevenson,25,WAS,12.9,0.542,0.243,0.287,2.7,0.3,3.1,0.061,0.1,-1.8,-1.6,0.2,2007,2007,3172178.75
145,1.8,0.518,3.5,0.0,0.0,0.0,0.5,0.7,2.7,1.8,0.513,3.6,1.3,0.535,2.4,54,0,16.0,2.0,2.3,4.9,0.8,0.5,4.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Anderson Varejao2005,Anderson Varejao,22,CLE,17.0,0.534,0.01,0.6579999999999999,1.5,1.4,3.0,0.16399999999999998,-0.4,1.4,1.0,0.6,2005,2007,5550000.0
146,1.6,0.53,3.1,0.0,0.0,0.0,0.4,0.4,3.3,1.6,0.527,3.1,1.3,0.513,2.5,48,4,15.8,1.6,2.5,4.6,0.6,0.6,4.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anderson Varejao2006,Anderson Varejao,23,CLE,14.8,0.541,0.006999999999999999,0.7929999999999999,1.1,1.3,2.3,0.146,-1.8,1.1,-0.7,0.3,2006,2007,5550000.0
147,2.4,0.48700000000000004,4.8,0.0,0.0,0.1,0.9,0.6,4.4,2.4,0.47600000000000003,5.0,2.0,0.616,3.3,81,6,23.9,2.4,3.3,6.8,0.9,0.8,6.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anderson Varejao2007,Anderson Varejao,24,CLE,14.4,0.527,0.022000000000000002,0.6679999999999999,2.6,4.0,6.6,0.16399999999999998,-1.3,2.9,1.6,1.7,2007,2007,5550000.0
3064,2.5,0.561,4.5,0.5,0.424,1.1,0.6,0.2,2.2,3.0,0.5329999999999999,5.6,0.7,0.789,0.9,82,0,18.9,1.3,2.7,7.2,0.5,0.5,3.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matt Bonner2005,Matt Bonner,24,TOR,14.7,0.596,0.19899999999999998,0.153,3.3,0.9,4.2,0.13,0.8,-1.1,-0.3,0.7,2005,2007,2980000.0
3065,1.4,0.478,2.9,1.3,0.42,3.1,0.7,0.4,2.5,2.7,0.44799999999999995,6.0,0.8,0.8290000000000001,1.0,78,6,21.9,1.1,2.8,7.5,0.6,0.4,3.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matt Bonner2006,Matt Bonner,25,TOR,13.7,0.5820000000000001,0.52,0.163,3.5,0.5,4.1,0.114,1.9,-1.3,0.6,1.1,2006,2007,2980000.0
3066,1.3,0.49,2.6,0.6,0.38299999999999995,1.7,0.4,0.2,1.6,1.9,0.447,4.2,0.5,0.711,0.7,56,0,11.7,1.1,1.2,4.9,0.3,0.4,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matt Bonner2007,Matt Bonner,26,SAS,16.4,0.542,0.397,0.16,1.1,1.2,2.2,0.163,0.9,-0.2,0.7,0.4,2007,2007,2980000.0
849,1.5,0.5670000000000001,2.6,0.0,0.0,0.0,0.4,0.4,2.8,1.5,0.562,2.6,0.7,0.644,1.1,40,0,13.4,1.7,1.9,3.7,0.7,0.3,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Chuck Hayes2006,Chuck Hayes,22,HOU,18.0,0.589,0.01,0.429,1.2,1.1,2.4,0.212,-0.6,2.1,1.5,0.5,2006,2007,1900562.5
850,2.5,0.573,4.3,0.0,0.0,0.0,0.6,0.2,4.1,2.5,0.573,4.3,0.7,0.618,1.1,78,43,22.0,2.6,3.6,5.6,0.9,0.8,6.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Chuck Hayes2007,Chuck Hayes,23,HOU,13.9,0.5870000000000001,0.0,0.266,2.9,3.6,6.4,0.179,-1.0,2.6,1.6,1.6,2007,2007,1900562.5
858,2.6,0.466,5.5,2.1,0.387,5.5,4.4,0.0,2.0,4.7,0.426,11.1,2.0,0.8029999999999999,2.5,82,82,35.4,0.4,2.2,13.6,0.9,1.8,2.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Chucky Atkins2005,Chucky Atkins,30,LAL,13.4,0.5579999999999999,0.5,0.223,4.7,-0.2,4.5,0.07400000000000001,1.8,-2.6,-0.9,0.8,2005,2007,3120000.0
