,2P,2P.1,2PA,3P,3P.1,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,MP,ORB,PF,PTS,Player,STL,TOV,TRB,Year,Traded,Pos_C,Pos_C-PF,Pos_C-SF,Pos_F,Pos_G-F,Pos_PF,Pos_PF-C,Pos_PF-SF,Pos_PG,Pos_PG-SG,Pos_SF,Pos_SF-PF,Pos_SF-SG,Pos_SG,Pos_SG-PF,Pos_SG-PG,Pos_SG-SF
1383,0.6,0.313,2,0,0.0,0,0,24,0,1,0.6,0.313,2,0.4,0.75,0.5,8,0,5.6,0.3,1.3,1.6,Earl Barron,0,0.6,1.3,2006.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1384,0.9,0.293,2.9,0,0.0,0,0.2,25,0.1,0.8,0.9,0.289,3,0.6,0.944,0.6,28,0,7.3,0.7,0.8,2.3,Earl Barron,0.2,0.4,1.5,2007.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1385,2.8,0.417,6.8,0,0.077,0.3,0.6,26,0.2,2.8,2.9,0.404,7.1,1.3,0.701,1.9,46,15,19.3,1.5,2.5,7.1,Earl Barron,0.4,1,4.3,2008.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1386,4.3,0.441,9.7,0,0.0,0,1.1,28,0.6,6.6,4.3,0.441,9.7,3.1,0.759,4.1,7,6,33.1,4.4,3.4,11.7,Earl Barron,0.6,1.6,11,2010.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1387,1.5,0.323,4.7,0,0.0,0,0.5,29,0.3,2.1,1.5,0.323,4.7,0.7,0.625,1.1,21,7,14.5,1.5,2.2,3.8,Earl Barron,0.4,0.8,3.6,2011.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1388,1,0.5,2,0,0.0,0,0,30,0,0,1,0.5,2,0,,0,2,0,4.5,0.5,2.5,2,Earl Barron,0,0,0.5,2012.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1389,1.5,0.353,4.3,0,0.0,0,0.4,31,0.5,3.3,1.5,0.353,4.3,0.3,0.429,0.6,12,2,13.3,1.8,2,3.3,Earl Barron,0.4,0.9,5.1,2013.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1390,3.5,0.432,8,0.7,0.337,2,4.5,28,0.1,1.3,4.1,0.413,10,3.4,0.921,3.7,82,5,26.4,0.5,1.5,12.4,Earl Boykins,1,1.5,1.7,2005.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1391,3.5,0.434,8,1,0.346,3,3.8,29,0.1,1,4.5,0.41,11,2.5,0.874,2.9,60,0,25.7,0.4,1.2,12.6,Earl Boykins,0.8,1.4,1.4,2006.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1392,3.5,0.43,8,1.4,0.397,3.6,4.4,30,0,1.4,4.9,0.42,11.7,3.3,0.898,3.7,66,23,30.8,0.7,1.4,14.6,Earl Boykins,0.8,1.8,2.1,2007.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
