name,height,weight,pick_round,pick_in_round,pick_overall,draft_year
cherokee parks,83,235,1,12,12,1995
richard parks,79,235,5,7,47,1966
jack parr,81,220,10,2,70,1958
chandler parsons,82,230,2,8,38,2011
andrae patterson,81,238,2,17,46,1998
george patterson,80,230,12,2,100,1961
lamar patterson,77,225,2,18,48,2014
patrick patterson,81,230,1,14,14,2010
ruben patterson,77,224,2,2,31,1998
steve patterson,81,225,8,10,129,1970
tom patterson,78,220,2,12,25,1972
chris paul,72,175,1,4,4,2005
charlie paulk,80,219,1,7,7,1968
jerry paulson,74,185,3,1,17,1957
billy paultz,83,235,7,1,103,1970
sasha pavlovic,80,220,1,19,19,2003
jim paxson,78,200,1,12,12,1979
john paxson,74,185,1,19,19,1983
adreian payne,82,237,1,15,15,2014
cameron payne,75,185,1,14,14,2015
kenny payne,80,195,1,19,19,1989
elfrid payton,76,185,1,10,10,2014
gary payton,76,180,1,2,2,1990
mel payton,76,185,2,9,18,1951
oleksiy pecherov,84,232,1,18,18,2006
wiley peck,79,220,1,19,19,1979
rich peek,83,230,15,1,148,1967
anthony peeler,76,208,1,15,15,1992
george peeples,79,190,4,5,35,1966
nikola pekovic,83,307,2,1,31,2008
jerry pender,74,185,7,15,112,1972
mike peplowski,82,270,2,25,52,1993
will perdue,84,240,1,11,11,1988
kendrick perkins,82,270,1,27,27,2003
sam perkins,81,235,1,4,4,1984
kosta perovic,86,240,2,8,38,2006
curtis perry,79,220,3,1,35,1970
elliot perry,72,150,2,10,37,1991
ron perry,75,190,7,1,68,1967
tim perry,81,200,1,7,7,1988
chuck person,80,220,1,4,4,1986
wesley person,78,195,1,23,23,1994
alec peters,81,232,2,24,54,2017
jim petersen,82,235,3,4,51,1984
loy petersen,77,205,2,3,17,1968
mel peterson,76,185,11,4,78,1960
morris peterson,79,218,1,21,21,2000
geoff petrie,76,190,1,8,8,1970
johan petro,84,247,1,25,25,2005
drazen petrovic,77,195,3,13,60,1986
richard petruska,82,260,2,19,46,1993
bob pettit,81,205,1,2,2,1954
jerry pettway,75,185,14,3,144,1967
roger phegley,78,205,1,14,14,1978
james phelan,73,175,8,8,77,1951
michael phelps,76,180,7,5,144,1985
eddie phillips,79,225,1,21,21,1982
gary phillips,75,189,1,9,9,1961
gene phillips,76,175,7,17,119,1971
bobby phills,77,210,2,18,45,1991
eric piatkowski,79,215,1,15,15,1994
paul pierce,79,235,1,10,10,1998
ricky pierce,76,205,1,18,18,1982
stan pietkiewicz,77,200,7,2,133,1978
mickael pietrus,78,215,1,11,11,2003
ed pinckney,81,195,1,10,10,1985
john pinone,80,230,3,11,58,1983
tom piotrowski,85,240,3,15,62,1983
scottie pippen,80,210,1,5,5,1987
charles pittman,80,220,3,15,61,1982
dexter pittman,83,308,2,2,32,2010
zoran planinic,79,195,1,22,22,2003
tibor pleiss,87,256,2,1,31,2010
mason plumlee,83,245,1,22,22,2013
miles plumlee,83,249,1,26,26,2012
gary plummer,81,215,2,21,45,1984
pavel podkolzin,89,260,1,21,21,2004
jakob poeltl,84,248,1,9,9,2016
dwayne polee,77,180,3,7,54,1986
scot pollard,83,265,1,19,19,1997
ralph polson,79,200,1,5,5,1952
olden polynice,83,220,1,8,8,1987
cliff pondexter,81,233,1,16,16,1974
quincy pondexter,79,220,1,26,26,2010
david pope,79,220,3,15,62,1984
mark pope,82,235,2,23,52,1996
dave popson,82,220,4,19,88,1987
ben poquette,81,235,2,14,36,1977
chris porter,79,218,2,26,55,2000
howard porter,80,220,2,15,32,1971
kevin porter,72,170,3,9,39,1972
otto porter,80,198,1,3,3,2013
terry porter,75,195,1,24,24,1985
willie porter,79,205,16,4,108,1965
bobby portis,83,230,1,22,22,2015
bob portman,77,200,1,7,7,1969
kristaps porzingis,87,240,1,4,4,2015
james posey,80,215,1,18,18,1999
lavor postell,77,215,2,10,39,2000
vitaly potapenko,82,280,1,12,12,1996
leon powe,80,240,2,19,49,2006
cincinnatus powell,79,220,8,5,66,1965
dwight powell,83,240,2,15,45,2014
norman powell,76,215,2,16,46,2015
marlbert pradd,75,170,9,6,74,1965
paul pressey,77,185,1,20,20,1982
dominic pressley,74,170,5,6,99,1986
harold pressley,79,210,1,17,17,1986
stephen previs,75,183,7,14,111,1972
a.j. price,74,181,2,22,52,2009
brent price,73,165,2,5,32,1992
jim price,75,195,2,3,16,1972
mark price,72,170,2,1,25,1986
mike price,75,200,1,17,17,1970
tony price,78,190,2,7,29,1979
tayshaun prince,81,212,1,23,23,2002
kevin pritchard,75,180,2,7,34,1990
laron profit,77,204,2,9,38,1999
gabe pruitt,76,170,2,2,32,2007
joel przybilla,85,255,1,9,9,2000
zhou qi,85,210,2,13,43,2016
bob quick,77,215,2,4,18,1968
brian quinnett,80,235,2,23,50,1989
ivan rabb,82,220,2,5,35,2017
luther rackley,82,220,3,8,37,1969
mark radford,76,190,3,7,53,1981
wayne radford,75,205,2,5,27,1978
dino radja,83,225,2,13,40,1989
vladimir radmanovic,82,227,1,12,12,2001
aleksandar radojevic,87,250,1,12,12,1999
frank radovich,80,235,2,6,14,1960
ray radziszewski,77,210,4,6,30,1957
ray ragelis,76,205,2,8,17,1951
ed rains,79,190,2,7,30,1981
igor rakocevic,75,183,2,22,51,2000
kurt rambis,80,213,3,12,58,1980
peter john ramos,87,275,2,3,32,2004
cal ramsey,76,200,2,7,13,1959
frank ramsey,75,190,1,5,5,1953
mark randall,80,235,1,26,26,1991
julius randle,81,250,1,7,7,2014
anthony randolph,82,205,1,14,14,2008
zach randolph,81,260,1,19,19,2001
wally rank,78,220,5,7,99,1980
kelvin ransey,73,170,1,4,4,1980
sam ranzino,73,185,1,8,8,1951
bobby rascoe,76,205,3,2,18,1962
blair rasmussen,84,250,1,15,15,1985
ed ratleff,78,195,1,6,6,1973
mike ratliff,82,230,2,15,28,1972
theo ratliff,82,225,1,18,18,1995
andy rautins,76,190,2,8,38,2010
leo rautins,80,215,1,17,17,1983
clifford ray,81,230,3,5,40,1971
jimmy rayl,74,175,3,5,22,1963
craig raymond,83,235,1,12,12,1967
joe reaves,77,210,3,7,42,1973
zeljko rebraca,84,257,2,27,54,1994
michael redd,78,220,2,14,43,2000
j.j. redick,76,190,1,11,11,2006
marlon redmond,78,188,3,16,60,1977
davon reed,77,208,2,2,32,2017
hub reed,81,215,2,7,14,1958
justin reed,80,240,2,11,40,2004
ron reed,77,205,3,3,20,1965
willis reed,81,235,2,1,8,1964
bryant reeves,84,275,1,6,6,1995
khalid reeves,75,199,1,12,12,1994
richie regan,74,180,1,4,4,1953
don rehfeldt,79,210,1,2,2,1950
billy reid,77,190,5,10,98,1979
don reid,80,250,2,29,58,1995
j.r. reid,81,247,1,5,5,1989
jim reid,78,210,5,10,53,1967
robert reid,80,205,2,18,40,1977
ryan reid,80,232,2,27,57,2010
richard rellford,78,230,5,2,95,1986
terrence rencher,75,185,2,3,32,1995
john rennicke,74,185,6,2,51,1951
efthimi rentzias,83,250,1,23,23,1996
shawn respert,73,195,1,8,8,1995
kevin restani,81,225,3,3,39,1974
george reynolds,76,195,9,4,117,1969
jerry reynolds,80,200,1,22,22,1985
kendall rhine,82,230,8,6,67,1964
rodrick rhodes,78,225,1,24,24,1997
glen rice,79,215,1,4,4,1989
glen rice jr.,78,206,2,5,35,2013
chris richard,81,270,2,11,41,2007
clint richardson,75,195,2,14,36,1979
jason richardson,78,220,1,5,5,2001
josh richardson,78,200,2,10,40,2015
malachi richardson,78,205,1,22,22,2016
micheal ray richardson,77,189,1,4,4,1978
pooh richardson,73,180,1,10,10,1989
quentin richardson,78,223,1,18,18,2000
mitch richmond,77,215,1,5,5,1988
john richter,81,225,1,6,6,1959
dick ricketts,79,215,1,1,1,1955
isaiah rider,77,215,1,5,5,1993
jackie ridgle,76,195,3,6,41,1971
luke ridnour,74,175,1,14,14,2003
bob riedy,78,215,6,1,56,1967
tom riker,82,225,1,8,8,1972
bob riley,81,235,5,14,82,1970
eric riley,84,245,2,6,33,1993
pat riley,76,205,1,7,7,1967
ron riley,80,195,3,8,38,1972
rich rinaldi,75,195,3,8,43,1971
mike riordan,76,200,12,5,128,1967
austin rivers,76,200,1,10,10,2012
david rivers,72,170,1,25,25,1988
doc rivers,76,185,2,7,31,1983
red robbins,80,190,6,9,59,1966
andre roberson,79,210,1,26,26,2013
rick roberson,81,231,1,15,15,1969
anthony roberts,77,185,1,21,21,1977
fred roberts,82,218,2,4,27,1982
joe roberts,78,214,3,5,21,1960
lawrence roberts,81,240,2,25,55,2005
marv roberts,80,200,3,10,45,1971
stanley roberts,84,285,1,23,23,1991
alvin robertson,75,185,1,7,7,1984
oscar robertson,77,205,1,1,1,1960
ryan robertson,77,190,2,16,45,1999
tony robertson,76,195,4,22,88,1977
rick robey,83,230,1,3,3,1978
bernard robinson,78,210,2,16,45,2004
chris robinson,77,200,2,22,51,1996
cliff robinson,81,220,1,11,11,1979
clifford robinson,82,225,2,9,36,1989
david robinson,85,235,1,1,1,1987
flynn robinson,73,185,2,7,15,1965
glenn robinson,79,225,1,1,1,1994
glenn robinson iii,78,222,2,10,40,2014
jackie robinson,78,210,4,1,67,1978
james robinson,74,180,1,21,21,1993
nate robinson,69,180,1,21,21,2005
oliver robinson,76,180,2,1,24,1982
ronnie robinson,80,200,4,8,60,1973
rumeal robinson,74,195,1,10,10,1990
samuel robinson,79,190,6,6,91,1970
thomas robinson,82,237,1,5,5,2012
truck robinson,79,225,2,4,22,1974
wayne robinson,80,217,2,8,31,1980
wilbert robinson,74,175,4,7,54,1972
bill robinzine,79,230,1,10,10,1975
dave robisch,82,235,3,9,44,1971
john roche,75,170,1,14,14,1971
dennis rodman,79,210,2,3,27,1986
sergio rodriguez,75,176,1,27,27,2006
lou roe,79,220,2,1,30,1995
carlos rogers,83,220,1,11,11,1994
harry rogers,79,195,4,15,67,1973
johnny rogers,82,225,2,10,34,1986
marshall rogers,73,190,2,17,34,1976
rodney rogers,79,235,1,9,9,1993
roy rogers,82,235,1,22,22,1996
willie rogers,75,185,8,2,94,1968
ken rohloff,72,195,7,6,59,1963
tree rollins,85,235,1,14,14,1977
lorenzo romar,73,175,7,3,141,1980
rajon rondo,73,186,1,21,21,2006
jerry rook,77,219,14,1,97,1965
sean rooks,82,250,2,3,30,1992
derrick rose,75,190,1,1,1,2008
jalen rose,80,210,1,13,13,1994
malik rose,79,250,2,15,44,1996
lennie rosenbluth,76,190,1,6,6,1957
dick rosenthal,77,205,1,4,4,1954
terrence ross,79,206,1,8,8,2012
doug roth,83,255,2,14,41,1989
scott roth,80,212,4,12,82,1985
dan roundfield,80,205,2,10,28,1975
ron rowan,77,200,3,20,67,1986
curtis rowe,79,225,1,11,11,1971
jim rowinski,80,250,4,16,86,1984
derrick rowland,77,195,10,8,211,1981
brian rowsom,81,220,2,11,34,1987
brandon roy,78,215,1,6,6,2006
donald royal,80,210,3,6,52,1987
reggie royals,82,200,5,1,70,1973
clifford rozier,83,245,1,16,16,1994
terry rozier,74,190,1,16,16,2015
ricky rubio,76,194,1,5,5,2009
delaney rudd,74,180,4,13,83,1985
john rudd,79,230,2,10,32,1978
john rudometkin,78,205,2,2,9,1962
michael ruffin,81,246,2,3,32,1999
paul ruffner,82,225,2,11,28,1970
joe ruklick,81,220,2,3,9,1959
jeff ruland,82,240,2,2,25,1980
bob rule,81,220,2,7,19,1967
stefano rusconi,81,240,2,25,52,1990
brandon rush,78,220,1,13,13,2008
kareem rush,78,215,1,20,20,2002
bill russell,82,215,1,2,2,1956
bryon russell,79,225,2,18,45,1993
campy russell,80,215,1,8,8,1974
cazzie russell,77,218,1,1,1,1966
d'angelo russell,77,195,1,2,2,2015
frank russell,75,180,3,5,35,1972
pierre russell,76,190,13,12,207,1971
rubin russell,74,180,12,10,133,1967
walker russell,77,195,4,9,78,1982
arvydas sabonis,87,279,4,7,77,1985
domantas sabonis,83,240,1,11,11,2016
robert sacre,84,270,2,30,60,2012
john salley,83,230,1,11,11,1986
john salmons,79,210,1,26,26,2002
al salvadori,81,220,4,1,32,1967
soumaila samake,84,230,2,7,36,2000
cheikh samb,85,245,2,21,51,2006
jamal sampson,83,235,2,18,47,2002
ralph sampson,88,228,1,1,1,1983
al sanders,79,240,4,9,56,1972
frankie sanders,78,200,1,20,20,1978
jeff sanders,80,225,1,20,20,1989
larry sanders,83,235,1,15,15,2010
mike sanders,78,210,4,5,74,1982
tom sanders,78,210,1,8,8,1960
ron sanford,81,215,4,8,51,1969
wayne sappleton,81,215,2,15,38,1982
dario saric,82,223,1,12,12,2014
jason sasser,79,225,2,12,41,1996
jeryl sasser,78,200,1,22,22,2001
tomas satoransky,79,210,2,2,32,2012
kenny satterfield,74,186,2,25,54,2001
pep saul,74,185,1,10,10,1949
woody sauldsberry,79,220,8,5,60,1957
glynn saulters,74,175,12,5,152,1968
fred saunders,79,210,2,13,31,1974
don savage,75,205,2,5,14,1951
brian scalabrine,81,241,2,6,35,2001
dewayne scales,80,208,2,13,36,1980
frank schade,73,170,4,6,53,1972
billy schaeffer,77,200,2,5,23,1973
bob schafer,75,195,3,3,17,1955
danny schayes,83,235,1,13,13,1981
dolph schayes,80,220,1,4,4,1948
steve scheffler,81,250,2,12,39,1990
tom scheffler,83,240,6,7,117,1977
dave schellhase,75,205,1,10,10,1966
dwayne schintzius,85,260,1,24,24,1990
dale schlueter,82,225,6,8,63,1967
dick schnittker,77,200,1,4,4,1950
russ schoene,82,210,2,22,45,1982
dave scholz,80,220,4,13,56,1969
detlef schrempf,81,214,1,8,8,1985
dennis schroder,73,172,1,17,17,2013
john schweitz,78,210,6,23,138,1982
luis scola,81,240,2,27,56,2002
alvin scott,79,185,7,5,136,1977
byron scott,75,195,1,4,4,1983
charlie scott,77,175,7,4,106,1970
dennis scott,80,229,1,4,4,1990
mike scott,80,237,2,13,43,2012
ray scott,81,215,1,4,4,1961
shawnelle scott,82,250,2,16,43,1994
willie scott,77,210,2,14,29,1969
carey scurry,79,188,2,13,37,1985
bruce seals,80,210,2,3,21,1975
malik sealy,80,190,1,14,14,1992
ed searcy,78,210,5,10,82,1974
kenny sears,81,198,1,4,4,1953
thabo sefolosha,79,220,1,13,13,2006
rony seikaly,83,230,1,9,9,1988
glen selbo,75,196,1,2,2,1947
josh selby,74,183,2,19,49,2011
brad sellers,84,210,1,9,9,1986
phil sellers,76,195,3,4,38,1976
frank selvy,75,180,1,1,1,1954
mouhamed sene,83,230,1,10,10,2006
kevin seraphin,81,285,1,17,17,2010
ansu sesay,81,225,2,1,30,1998
ramon sessions,75,190,2,26,56,2007
ha seung-jin,87,305,2,17,46,2004
tom sewell,77,185,1,22,22,1984
lynn shackelford,77,190,7,6,91,1969
charles shackleford,82,225,2,7,32,1988
lee shaffer,79,220,1,5,5,1960
god shammgod,72,169,2,17,45,1997
howie shannon,74,175,1,1,1,1949
chuck share,83,235,1,1,1,1950
walter sharpe,81,245,2,2,32,2008
john shasky,83,235,3,14,61,1986
ron shavlik,80,200,1,4,4,1956
brian shaw,78,190,1,24,24,1988
casey shaw,83,260,2,8,37,1998
craig shelton,79,210,2,5,28,1980
lonnie shelton,80,240,2,8,25,1976
tornike shengelia,81,217,2,24,54,2012
steve sheppard,78,215,2,8,30,1977
gene short,78,200,1,9,9,1975
purvis short,79,210,1,5,5,1978
dexter shouse,74,200,4,22,92,1985
gene shue,74,170,1,3,3,1954
john shumate,81,235,1,4,4,1974
iman shumpert,77,220,1,17,17,2011
pascal siakam,81,230,1,27,27,2016
sam sibert,79,215,2,6,19,1972
mark sibley,74,175,4,12,64,1973
jerry sichting,73,168,4,16,82,1979
donald sidle,80,215,3,7,29,1968
larry siegfried,75,190,1,3,3,1961
jack sikma,83,230,1,8,8,1977
james silas,73,180,5,7,70,1972
paul silas,79,220,2,3,10,1964
mike silliman,78,225,8,1,69,1966
wayne simien,81,255,1,29,29,2005
ben simmons,82,230,1,1,1,2016
bobby simmons,79,210,2,13,42,2001
cedric simmons,81,235,1,15,15,2006
grant simmons,75,190,12,3,100,1966
lionel simmons,79,210,1,7,7,1990
miles simon,75,202,2,13,42,1998
dickey simpkins,81,248,1,21,21,1994
ralph simpson,77,200,1,11,11,1972
bob sims,77,220,7,6,54,1960
scott sims,73,170,5,15,103,1977
kyle singler,80,228,2,3,33,2011
sean singletary,72,185,2,12,42,2008
chris singleton,80,230,1,18,18,2011
mckinley singleton,77,175,6,4,120,1984
zeke sinicola,70,165,1,4,4,1951
charlie sitton,80,210,2,14,38,1984
peyton siva,72,185,2,26,56,2013
scott skiles,73,180,1,22,22,1986
al skinner,75,190,9,16,160,1974
brian skinner,81,255,1,22,22,1998
tal skinner,77,195,3,8,44,1974
jeff slade,78,220,11,1,85,1962
jim slaughter,83,210,4,2,31,1951
jose slaughter,77,205,2,20,43,1982
tamar slay,80,215,2,25,54,2002
jerry sloan,77,195,3,3,19,1964
uros slokar,82,238,2,28,58,2005
tom sluby,76,200,2,17,41,1984
keith smart,73,175,2,16,41,1988
marcus smart,76,220,1,6,6,2014
adrian smith,73,180,15,1,85,1958
al smith,73,185,10,5,132,1969
bill smith,77,190,5,1,42,1961
bingo smith,77,195,1,6,6,1969
bobby smith,76,190,3,4,18,1959
charles smith,76,194,1,26,26,1997
chris smith,75,190,2,7,34,1992
clinton smith,78,210,5,4,97,1986
craig smith,79,250,2,6,36,2006
dennis smith jr.,75,195,1,9,9,2017
derek smith,78,205,2,12,35,1982
don smith,72,160,2,1,19,1974
donta smith,79,215,2,5,34,2004
doug smith,82,220,1,6,6,1991
ed smith,78,180,1,6,6,1951
elmore smith,84,250,1,3,3,1971
garfield smith,81,235,3,10,32,1968
greg smith,77,195,4,14,50,1968
j.r. smith,78,225,1,18,18,2004
jabari smith,83,250,2,16,45,2000
jason smith,84,245,1,20,20,2007
jim smith,81,225,3,8,54,1981
joe smith,82,225,1,1,1,1995
john smith,84,235,8,9,101,1968
josh smith,81,225,1,17,17,2004
keith smith,75,180,2,21,45,1986
ken smith,79,185,4,11,65,1975
kenny smith,75,170,1,6,6,1987
labradford smith,75,200,1,19,19,1991
larry smith,80,215,2,1,24,1980
leon smith,82,235,1,29,29,1999
michael smith,80,230,2,8,35,1994
mike smith,80,195,2,6,35,2000
nolan smith,74,185,1,21,21,2011
otis smith,77,210,2,17,41,1986
pete smith,78,205,13,2,197,1971
phil smith,76,185,2,11,29,1974
randy smith,75,180,14,2,205,1970
reggie smith,82,240,2,4,31,1992
robert smith,71,165,3,21,65,1977
russ smith,72,165,2,17,47,2014
sam smith,76,200,3,4,48,1977
steve smith,79,200,1,5,5,1991
tony smith,75,185,2,24,51,1990
william smith,84,220,3,7,42,1971
willie smith,74,170,2,1,18,1976
rik smits,88,250,1,2,2,1988
mike smrek,84,250,2,1,25,1985
tony snell,79,200,1,20,20,2013
eric snow,75,190,2,14,43,1995
dick snyder,77,207,2,4,14,1966
kirk snyder,78,225,1,16,16,2004
ricky sobers,75,198,1,16,16,1975
ron sobie,75,185,1,6,6,1956
mike sojourner,81,225,1,10,10,1974
willie sojourner,80,225,2,3,20,1971
will solomon,73,185,2,4,33,2001
willie somerset,68,170,7,3,56,1965
darius songaila,81,248,2,21,50,2002
dave sorenson,80,225,2,9,26,1970
pape sow,82,250,2,18,47,2004
ken spain,81,225,2,5,20,1969
jim spanarkel,77,190,1,16,16,1979
vassilis spanoulis,76,195,2,21,50,2004
daniel sparks,80,200,4,5,41,1968
guy sparrow,78,218,3,5,19,1955
rory sparrow,74,175,4,6,75,1980
marreese speights,82,255,1,16,16,2008
elmore spencer,84,270,1,25,25,1992
felton spencer,84,265,1,6,6,1990
tiago splitter,83,245,1,28,28,2007
art spoelstra,81,220,4,7,34,1954
bruce spraggins,77,188,5,6,47,1961
latrell sprewell,77,190,1,24,24,1992
larry spriggs,79,230,4,12,81,1981
ryan stack,83,215,2,19,48,1998
jerry stackhouse,78,218,1,3,3,1995
kevin stacom,75,185,2,6,24,1973
bud stallworth,77,190,1,7,7,1972
dave stallworth,79,200,1,3,3,1965
terence stansbury,77,170,1,15,15,1984
keith starr,78,190,4,1,52,1976
nik stauskas,78,205,1,8,8,2014
larry staverman,79,205,9,2,64,1958
larry steele,77,180,3,2,37,1971
matt steigenga,79,225,2,25,52,1992
vladimir stepania,84,236,1,27,27,1998
everette stephens,74,175,2,6,31,1988
jack stephens,75,185,2,1,7,1955
lance stephenson,77,230,2,10,40,2010
brook steppe,77,195,1,17,17,1982
barry stevens,77,195,2,19,43,1985
wayne stevens,75,185,7,2,49,1958
deshawn stevenson,77,210,1,23,23,2000
dennis stewart,78,220,4,1,44,1969
kebu stewart,80,239,2,7,35,1997
steve stipanovich,83,245,1,2,2,1983
bryant stith,77,208,1,13,13,1992
sam stith,74,185,8,1,56,1960
tom stith,77,210,1,2,2,1961
alex stivrins,80,220,4,5,75,1985
john stockton,73,170,1,16,16,1984
peja stojakovic,81,220,1,14,14,1996
ed stokes,84,264,2,8,35,1993
greg stokes,82,220,2,9,33,1985
jarnell stokes,81,263,2,5,35,2014
maurice stokes,79,232,1,2,2,1955
diamond stone,83,255,2,10,40,2016
george stone,79,195,9,9,115,1968
damon stoudamire,70,171,1,7,7,1995
salim stoudamire,73,179,2,1,31,2005
amar'e stoudemire,82,245,1,9,9,2002
paul stovall,76,215,2,9,22,1972
d.j. strawberry,77,201,2,29,59,2007
joe strawder,82,235,4,9,34,1964
bill stricker,81,210,4,3,54,1970
rod strickland,75,175,1,19,19,1988
roger strickland,77,200,4,9,34,1962
john stroeder,82,260,8,8,168,1980
derek strong,80,220,2,20,47,1990
lamont strothers,76,190,2,16,43,1991
john stroud,79,215,2,4,27,1980
red stroud,72,160,5,9,44,1963
rodney stuckey,77,210,1,15,15,2007
jared sullinger,81,260,1,21,21,2012
dajuan summers,80,230,2,5,35,2009
barry sumpter,83,215,3,6,56,1988
don sunderlage,73,180,1,9,9,1951
bruno sundov,86,220,2,6,35,1998
jon sundvold,74,170,1,16,16,1983
bob sura,77,200,1,17,17,1995
dane suttle,75,190,7,13,152,1983
greg sutton,74,170,2,22,49,1991
keith swagerty,79,235,4,5,36,1967
bennie swain,80,220,1,7,7,1958
caleb swanigan,80,250,1,26,26,2017
mike sweetney,80,275,1,9,9,2003
robert swift,84,245,1,12,12,2004
skeeter swift,75,204,3,2,31,1969
stromile swift,81,225,1,2,2,2000
pape sy,79,225,2,23,53,2010
wally szczerbiak,79,244,1,6,6,1999
walt szczerbiak,78,210,4,14,65,1971
zan tabak,84,245,2,24,51,1991
chris taft,82,260,2,12,42,2005
dragan tarlac,82,260,2,2,31,1995
roy tarpley,83,230,1,7,7,1986
levern tart,74,195,6,9,52,1964
earl tatum,77,185,2,4,21,1976
jayson tatum,80,205,1,3,3,2017
edy tavares,87,260,2,13,43,2014
anthony taylor,76,175,2,19,44,1988
brian taylor,74,185,2,10,23,1972
fatty taylor,72,175,12,12,167,1969
fred taylor,77,180,2,10,27,1970
jeff taylor,79,225,2,1,31,2012
jermaine taylor,76,210,2,2,32,2009
johnny taylor,81,220,1,17,17,1997
maurice taylor,81,260,1,14,14,1997
mike taylor,74,165,2,25,55,2008
oliver taylor,74,194,12,6,189,1970
ronald taylor,85,265,2,3,18,1969
tyshawn taylor,75,185,2,11,41,2012
vince taylor,77,180,2,11,34,1982
terry teagle,77,195,1,16,16,1982
jeff teague,74,186,1,19,19,2009
marquis teague,74,189,1,29,29,2012
sebastian telfair,72,165,1,13,13,2004
collis temple,80,220,6,4,94,1974
ira terrell,80,200,3,11,45,1976
carlos terry,77,210,5,16,104,1978
chuck terry,78,215,2,16,29,1972
claude terry,76,195,3,12,42,1972
jason terry,74,185,1,10,10,1999
hasheem thabeet,87,263,1,2,2,2009
reggie theus,79,190,1,9,9,1978
peter thibeaux,79,210,4,7,77,1983
justus thigpen,73,160,11,6,147,1969
david thirdkill,79,195,1,15,15,1982
etan thomas,81,256,1,12,12,2000
isaiah thomas,69,185,2,30,60,2011
isiah thomas,73,180,1,2,2,1981
jim thomas,75,190,2,16,40,1983
joe thomas,78,205,6,10,95,1970
john thomas,81,265,1,25,25,1997
kenny thomas,79,261,1,22,22,1999
kurt thomas,81,230,1,10,10,1995
ronald thomas,78,215,6,10,90,1972
terry thomas,80,220,9,7,151,1975
tim thomas,82,230,1,7,7,1997
tyrus thomas,81,215,1,4,4,2006
trey thompkins,82,245,2,7,37,2011
bernard thompson,78,210,1,19,19,1984
billy thompson,79,195,1,19,19,1986
brooks thompson,76,193,1,27,27,1994
corny thompson,80,225,3,4,50,1982
david thompson,76,195,1,1,1,1975
dijon thompson,79,195,2,24,54,2005
george thompson,74,200,5,9,66,1969
jack thompson,73,185,3,11,33,1968
jason thompson,83,250,1,12,12,2008
john thompson,82,225,3,9,25,1964
kevin thompson,83,260,2,21,48,1993
klay thompson,79,215,1,11,11,2011
lasalle thompson,82,245,1,5,5,1982
mychal thompson,82,226,1,1,1,1978
paul thompson,78,210,3,3,50,1983
tristan thompson,81,238,1,4,4,2011
skip thoren,82,230,4,4,30,1965
rod thorn,76,195,1,2,2,1963
al thornton,80,220,1,14,14,2007
bob thornton,82,225,4,17,87,1984
dallas thornton,76,190,4,4,40,1968
marcus thornton,76,205,2,13,43,2009
sindarius thornwell,77,212,2,18,48,2017
otis thorpe,81,225,1,9,9,1984
sedale threatt,74,175,6,23,139,1983
nate thurmond,83,225,1,3,3,1963
darren tillis,83,215,1,23,23,1982
george tinsley,77,205,6,5,76,1969
jamaal tinsley,75,195,1,27,27,2001
wayman tisdale,81,240,1,2,2,1985
ray tolbert,81,225,1,18,18,1981
tom tolbert,79,235,2,9,34,1988
dean tolson,80,190,5,8,80,1974
rudy tomjanovich,80,218,1,2,2,1970
andrew toney,75,178,1,8,8,1980
sedric toney,74,178,3,12,59,1985
andy tonkovich,73,185,1,1,1,1948
bernard toone,81,210,2,15,37,1979
gene tormohlen,80,230,2,5,11,1959
bill tosheff,73,175,4,3,32,1951
monte towe,67,150,4,3,57,1975
linton townes,79,190,2,10,33,1982
karl-anthony towns,84,244,1,1,1,2015
raymond townsend,75,175,1,22,22,1978
george trapp,80,205,1,5,5,1971
john trapp,79,210,2,1,15,1968
robert traylor,80,284,1,6,6,1998
gary trent,80,250,1,11,11,1995
jeff trepagnier,76,200,2,7,36,2001
john tresvant,79,215,5,6,40,1964
kelly tripucka,78,220,1,12,12,1981
ansley truitt,81,215,3,11,41,1972
jake tsakalidis,86,285,1,25,25,2000
nikoloz tskitishvili,84,225,1,5,5,2002
al tucker,80,190,1,6,6,1967
alando tucker,78,205,1,29,29,2007
jim tucker,79,185,3,6,24,1954
p.j. tucker,78,245,2,5,35,2006
trent tucker,77,193,1,6,6,1982
ronny turiaf,82,249,2,7,37,2005
mirsad turkcan,81,236,1,18,18,1998
hedo turkoglu,82,220,1,16,16,2000
andre turner,71,160,3,22,69,1986
bill turner,79,220,9,1,78,1966
elston turner,77,190,2,20,43,1981
evan turner,79,220,1,2,2,2010
gary turner,79,200,3,8,28,1966
herschell turner,74,195,6,5,45,1960
jack turner,77,200,2,9,18,1961
jeff turner,81,230,1,17,17,1984
john turner,80,245,1,20,20,1991
myles turner,83,243,1,11,11,2015
melvin turpin,83,240,1,6,6,1984
dave twardzik,73,175,2,13,26,1972
jack twyman,78,210,2,2,8,1955
b.j. tyler,73,185,1,20,20,1994
jeremy tyler,82,260,2,9,39,2011
terry tyler,79,215,2,1,23,1978
charlie tyra,80,230,1,2,2,1957
ekpe udoh,82,240,1,6,6,2010
beno udrih,75,205,1,28,28,2004
roko ukic,77,183,2,11,41,2005
tyler ulis,70,150,2,4,34,2016
wes unseld,79,245,1,2,2,1968
stephen vacendak,73,185,4,3,33,1966
jonas valanciunas,84,265,1,5,5,2011
darnell valentine,73,183,1,16,16,1981
denzel valentine,78,212,1,14,14,2016
