name,height,weight,pick_round,pick_in_round,pick_overall,draft_year
junior burrough,80,242,2,4,33,1995
willie burton,80,210,1,9,9,1990
steve burtt,74,185,2,6,30,1984
don buse,76,190,3,4,34,1972
david bustion,80,215,5,5,68,1972
donnie butcher,74,200,7,1,60,1961
al butler,74,175,2,8,17,1961
caron butler,79,228,1,10,10,2002
greg butler,83,240,2,12,37,1988
jimmy butler,80,236,1,30,30,2011
mike butler,74,170,10,1,121,1968
rasual butler,79,215,2,24,53,2002
derrick byars,79,220,2,12,42,2007
andrew bynum,84,285,1,10,10,2005
marty byrnes,79,215,1,19,19,1978
zarko cabarkapa,83,235,1,17,17,2003
barney cable,79,175,2,3,10,1958
bruno caboclo,81,218,1,20,20,2014
jason caffey,80,255,1,20,20,1995
michael cage,81,224,1,14,14,1984
nick calathes,78,213,2,15,45,2009
jim caldwell,82,240,3,8,25,1965
joe caldwell,77,195,1,2,2,1964
kentavious caldwell-pope,77,205,1,8,8,2013
corky calhoun,79,210,1,4,4,1972
mack calvin,72,165,14,8,187,1969
marcus camby,83,220,1,2,2,1996
elden campbell,83,215,1,27,27,1990
tony campbell,79,215,1,20,20,1984
isaiah canaan,72,201,2,4,34,2013
larry cannon,76,195,1,5,5,1969
clint capela,82,240,1,25,25,2014
derrick caracter,81,275,2,28,58,2010
frank card,79,195,7,10,77,1967
brian cardinal,80,245,2,15,44,2000
howie carl,69,160,5,9,50,1961
rick carlisle,77,210,3,23,70,1984
don carlos,77,210,8,4,83,1967
bob carney,75,170,6,2,47,1954
rodney carney,79,205,1,16,16,2006
antoine carr,81,225,1,8,8,1983
austin carr,76,200,1,1,1,1971
chris carr,77,207,2,27,56,1995
cory carr,75,210,2,20,49,1998
kenny carr,79,220,1,6,6,1977
m.l. carr,78,205,5,7,76,1973
darel carrier,75,185,9,4,74,1964
bob carrington,78,195,2,11,28,1976
demarre carroll,80,215,1,27,27,2009
joe barry carroll,84,225,1,1,1,1980
butch carter,77,180,2,14,37,1980
fred carter,75,185,3,14,43,1969
george carter,76,210,8,2,81,1967
howard carter,77,215,1,15,15,1983
reggie carter,75,175,2,5,27,1979
ron carter,77,190,2,4,26,1978
vince carter,78,220,1,5,5,1998
michael carter-williams,78,190,1,11,11,2013
bill cartwright,85,245,1,3,3,1979
jay carty,80,220,6,3,46,1962
cornelius cash,80,215,2,6,24,1975
sam cash,80,230,5,3,66,1972
sam cassell,75,185,1,24,24,1993
omri casspi,81,225,1,23,23,2009
harvey catchings,81,218,9,1,138,1973
terry catledge,80,220,1,21,21,1985
sid catlett,78,230,4,4,55,1971
kelvin cato,83,255,1,15,15,1997
bobby cattage,81,250,8,4,165,1981
willie cauley-stein,84,240,1,6,6,2015
duane causwell,84,240,1,18,18,1990
cedric ceballos,78,190,2,21,48,1990
john celestand,76,178,2,1,30,1999
lionel chalmers,72,180,2,4,33,2004
mario chalmers,74,190,2,4,34,2008
bill chamberlain,78,188,3,13,43,1972
jerry chambers,77,185,1,7,7,1966
tom chambers,82,220,1,8,8,1981
tyson chandler,85,240,1,2,2,2001
wilson chandler,80,225,1,23,23,2007
don chaney,77,210,1,12,12,1968
rex chapman,76,185,1,8,8,1988
wayne chapman,78,190,16,4,156,1967
len chappell,80,240,1,4,4,1962
ken charles,75,180,3,3,38,1973
lorenzo charles,79,225,2,17,41,1985
calbert cheaney,79,209,1,6,6,1993
maurice cheeks,73,180,2,14,36,1978
derrick chievous,79,195,1,16,16,1988
pete chilcutt,82,230,1,27,27,1991
josh childress,80,210,1,6,6,2004
randolph childress,74,188,1,19,19,1995
jim chones,83,220,2,13,31,1973
marquese chriss,82,233,1,8,8,2016
bob christian,82,255,8,10,109,1969
doug christie,78,200,1,17,17,1992
rakeem christmas,81,250,2,6,36,2015
semaj christon,75,190,2,25,55,2014
stephen chubin,74,200,3,3,23,1966
archie clark,74,175,4,7,37,1966
carlos clark,76,210,4,21,91,1983
earl clark,82,225,1,14,14,2009
keon clark,83,220,1,13,13,1998
jordan clarkson,77,194,2,16,46,2014
victor claver,81,224,1,22,22,2009
charles claxton,84,265,2,23,50,1994
speedy claxton,71,166,1,20,20,2000
jim cleamons,75,185,1,13,13,1971
mateen cleaves,74,205,1,14,14,2000
barry clemens,78,210,3,2,19,1965
ben clyde,79,198,5,17,89,1974
fred cofield,75,190,4,3,73,1985
norris cole,74,175,1,28,28,2011
ben coleman,81,235,2,13,37,1984
derrick coleman,82,230,1,1,1,1990
e.c. coleman,80,225,3,16,51,1973
norris coleman,80,210,2,15,38,1987
bimbo coles,73,180,2,13,40,1990
jason collier,84,260,1,15,15,2000
art collins,76,185,6,17,103,1976
don collins,78,190,1,18,18,1980
doug collins,78,180,1,1,1,1973
james collins,76,196,2,8,36,1997
jarron collins,83,255,2,24,53,2001
jason collins,84,255,1,18,18,2001
jimmy collins,74,175,1,11,11,1970
john collins,82,235,1,19,19,2017
mardy collins,78,220,1,29,29,2006
zach collins,84,232,1,10,10,2017
darren collison,72,175,1,21,21,2009
nick collison,82,255,1,12,12,2003
steve colter,75,165,2,9,33,1984
glen combs,74,185,5,1,51,1968
leroy combs,80,210,2,2,26,1983
john comeaux,77,193,7,9,68,1966
dallas comegys,81,205,1,21,21,1987
larry comley,77,210,10,8,91,1961
jeffrey congdon,73,180,4,2,32,1966
mike conley,73,175,1,4,4,2007
ed conlin,77,200,1,5,5,1955
pat connaughton,77,206,2,11,41,2015
jimmy conner,76,190,2,18,36,1975
